--------- beginning of /dev/log/main
01-07 03:11:40.216 E/wpa_supplicant(  946): CMD: PING
01-07 03:11:40.216 D/wpa_supplicant(  946): REPLY: PONG
01-07 03:11:45.071 I/wpa_supplicant(  946): wlan0: CTRL-EVENT-TERMINATING - signal 2 received
01-07 03:11:45.071 I/wpa_supplicant(  946): wlan0: CTRL-EVENT-TERMINATING - signal 0 received
01-07 03:11:45.071 D/wpa_supplicant(  946): wlan0: P2P: Clear timeout (state=IDLE)
01-07 03:11:45.071 D/wpa_supplicant(  946): wlan0: P2P: State IDLE -> IDLE
01-07 03:11:45.071 I/wpa_supplicant(  946): wlan0: CTRL-EVENT-STATE-CHANGE id=-1 state=0 BSSID=00:00:00:00:00:00
01-07 03:11:45.071 D/wpa_supplicant(  946): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:11:45.071 D/wpa_supplicant(  946): wpa_driver_nl80211_set_operstate: operstate 0->0 (DORMANT)
01-07 03:11:45.071 D/wpa_supplicant(  946): netlink: Operstate: linkmode=-1, operstate=5
01-07 03:11:45.071 D/wpa_supplicant(  946): wpa_state_to_wapi_state wpa_state : 0 change to wapi_state
01-07 03:11:45.071 D/wpa_supplicant(  946): wpa_supplicant_set_state wapi_state : 0
01-07 03:11:45.071 D/wpa_supplicant(  946): EAPOL: External notification - portEnabled=0
01-07 03:11:45.071 D/wpa_supplicant(  946): EAPOL: Supplicant port status: Unauthorized
01-07 03:11:45.071 D/wpa_supplicant(  946): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:11:45.071 D/wpa_supplicant(  946): EAPOL: External notification - portValid=0
01-07 03:11:45.071 D/wpa_supplicant(  946): EAPOL: Supplicant port status: Unauthorized
01-07 03:11:45.071 D/wpa_supplicant(  946): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:11:45.071 D/wpa_supplicant(  946): CTRL_IFACE wait for attached monitors to receive messages
01-07 03:11:46.072 D/wpa_supplicant(  946): nl80211: wpa_driver_nl80211_check_iface iface is UP
01-07 03:11:46.072 D/wpa_supplicant(  946): nl80211: Set TX rates failed: ret=-95 (Operation not supported on transport endpoint)
01-07 03:11:46.072 D/wpa_supplicant(  946): netlink: Operstate: linkmode=0, operstate=6
01-07 03:11:46.072 I/dun_service(  123): process rmnet event
01-07 03:11:46.072 I/dun_service(  115): process rmnet event
01-07 03:11:46.072 I/dun_service(  123): Post event 3
01-07 03:11:46.072 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.072 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.072 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  115): Post event 3
01-07 03:11:46.072 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.072 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.072 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  123): process rmnet event
01-07 03:11:46.072 I/dun_service(  115): process rmnet event
01-07 03:11:46.072 I/dun_service(  123): Post event 3
01-07 03:11:46.072 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.072 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.072 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  115): Post event 3
01-07 03:11:46.072 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.072 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.072 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.072 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:11:46.072 E/wpa_supplicant(  946): nl80211: wpa_driver_nl80211_check_iface iface is down, change it to up
01-07 03:11:46.082 I/dun_service(  123): process rmnet event
01-07 03:11:46.082 I/dun_service(  115): process rmnet event
01-07 03:11:46.082 I/dun_service(  123): Post event 3
01-07 03:11:46.082 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.082 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.082 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.082 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:11:46.082 I/dun_service(  115): Post event 3
01-07 03:11:46.082 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:11:46.082 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:11:46.082 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:11:46.082 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:04.900 I/dun_service(  123): process rmnet event
01-07 03:12:04.900 I/dun_service(  123): Post event 3
01-07 03:12:04.900 I/dun_service(  123): process rmnet event
01-07 03:12:04.900 I/dun_service(  123): Post event 3
01-07 03:12:04.900 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:04.900 I/dun_service(  115): process rmnet event
01-07 03:12:04.900 I/dun_service(  115): Post event 3
01-07 03:12:04.900 I/dun_service(  115): process rmnet event
01-07 03:12:04.900 I/dun_service(  115): Post event 3
01-07 03:12:04.900 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:04.900 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:04.900 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  123): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:04.900 I/dun_service(  123): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  123): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:04.900 I/dun_service(  123): Moved to state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:04.900 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:04.900 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  115): received event: DUN_EVENT_RMNET_DOWN 
01-07 03:12:04.900 I/dun_service(  115): received event(DUN_EVENT_RMNET_DOWN) in state(DUN_STATE_IDLE)
01-07 03:12:04.900 I/dun_service(  115): Ignoring the event DUN_EVENT_RMNET_DOWN in IDLE_STATE
01-07 03:12:04.900 I/dun_service(  115): Moved to state(DUN_STATE_IDLE)
01-07 03:12:04.900 E/Tethering(  203): attempting to remove unknown iface (wlan0), ignoring
--------- beginning of /dev/log/system
01-07 03:12:04.900 D/NetdConnector(  203): RCV <- {600 Iface removed wlan0}
01-07 03:12:05.171 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.171 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.171 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.171 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.171 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.171 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.191 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:05.231 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.806 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.806 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.806 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.806 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.826 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:10.826 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:15.251 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:15.251 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:26.231 D/WindowManager(  203): interceptKeyTq keycode=26 screenIsOn=false keyguardActive=true
01-07 03:12:26.231 D/KeyguardViewMediator(  203): wakeWhenReadyLocked(26)
01-07 03:12:26.231 I/PowerManagerService(  203): Decreasing sampling rate.
01-07 03:12:26.231 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:26.251 D/WindowManager(  203): interceptKeyTq keycode=26 screenIsOn=false keyguardActive=true
01-07 03:12:26.261 D/JrdLockScreen(  203): Updating Lock Screen text to Sim
01-07 03:12:26.261 D/JrdLockScreen(  203): screen on and charging --------start charging animation !!!!!!!!!
01-07 03:12:26.261 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:26.321 E/WifiEnabler(  712): handleWifiStateChanged(): (1)
01-07 03:12:26.321 W/DMM Service(  203): Enable Unstable Memory : true
01-07 03:12:26.331 V/DATA    (  288): [DCT(0) ] intent received :android.intent.action.SCREEN_ON
01-07 03:12:26.351 D/DATA    (  288): [DSST(0)] pollstate() : reason = data network state changed
01-07 03:12:26.361 D/DATA    (  288): [DSST(0)] Poll ServiceState done: oldSS=[1 home null null null  Unknown CSS not supported -1 -1RoamInd: -1DefRoamInd: -1EmergOnly: false] newSS=[1 home null null null  Unknown CSS not supported -1 -1RoamInd: -1DefRoamInd: -1EmergOnly: false]
01-07 03:12:26.441 D/NfcService(  289): NFC-EE routing OFF
01-07 03:12:26.542 D/NfcService(  289): NFC-C discovery ON
01-07 03:12:26.542 I/dun_service(  123): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:26.542 I/dun_service(  115): The value returned from dun_getusbmodemstate_fromsys is 2 
01-07 03:12:27.192 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.212 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.222 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.262 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.262 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.312 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.342 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.342 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.412 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.432 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.452 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:27.472 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.794 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.814 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.864 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.904 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.914 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:28.954 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:29.404 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:29.434 W/InputManagerService(  203): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@409d4350
01-07 03:12:29.905 E/JrdLockScreen(  203): onPause --------Lock Screen charging stop animation !!!!!!!!!
01-07 03:12:33.088 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:33.128 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:33.268 I/ActivityManager(  203): Starting: Intent { act=android.intent.action.MAIN cmp=com.android.settings/.wifi.WifiSettings } from pid 712
01-07 03:12:33.278 D/PowerManagerService(  203): reactivateScreenLocksLocked mProxIgnoredBecauseScreenTurnedOff=false
01-07 03:12:33.328 E/WifiEnabler(  712): handleWifiStateChanged(): (1)
01-07 03:12:33.729 I/ActivityManager(  203): Displayed com.android.settings/.wifi.WifiSettings: +453ms (total +37m38s178ms)
